GEOCODE,BOROUGH,GEONAME,VALUE
310,Brooklyn,Bay Ridge and Dyker Heights (CD10),0.25
411,Queens,Bayside and Little Neck (CD11),0.25
303,Brooklyn,Bedford Stuyvesant (CD3),0.25
206,Bronx,Belmont and East Tremont (CD6),0.25
311,Brooklyn,Bensonhurst (CD11),0.25
312,Brooklyn,Borough Park (CD12),0.25
316,Brooklyn,Brownsville (CD16),0.25
304,Brooklyn,Bushwick (CD4),0.25
110,Manhattan,Central Harlem (CD10),0.25
104,Manhattan,Clinton and Chelsea (CD4),0.25
313,Brooklyn,Coney Island (CD13),0.25
308,Brooklyn,Crown Heights and Prospect Heights (CD8),0.25
317,Brooklyn,East Flatbush (CD17),0.25
111,Manhattan,East Harlem (CD11),0.25
305,Brooklyn,East New York and Starrett City (CD5),0.25
404,Queens,Elmhurst and Corona (CD4),0.25
101,Manhattan,Financial District (CD1),0.25
314,Brooklyn,Flatbush and Midwood (CD14),0.25
318,Brooklyn,Flatlands and Canarsie (CD18),0.25
407,Queens,Flushing and Whitestone (CD7),0.25
205,Bronx,Fordham and University Heights (CD5),0.25
302,Brooklyn,Fort Greene and Brooklyn Heights (CD2),0.25
301,Brooklyn,Greenpoint and Williamsburg (CD1),-.5
102,Manhattan,Greenwich Village and Soho (CD2),0.25
204,Bronx,Highbridge and Concourse (CD4),0.25
408,Queens,Hillcrest and Fresh Meadows (CD8),0.25
202,Bronx,Hunts Point and Longwood (CD2),.9
403,Queens,Jackson Heights (CD3),0.25
412,Queens,Jamaica and Hollis (CD12),0.25
409,Queens,Kew Gardens and Woodhaven (CD9),0.25
207,Bronx,Kingsbridge Heights and Bedford (CD7),0.25
401,Queens,Long Island City and Astoria (CD1),0.25
103,Manhattan,Lower East Side and Chinatown (CD3),0.25
105,Manhattan,Midtown (CD5),0.25
109,Manhattan,Morningside Heights and Hamilton Heights (CD9),0.25
211,Bronx,Morris Park and Bronxdale (CD11),0.25
203,Bronx,Morrisania and Crotona (CD3),0.25
201,Bronx,Mott Haven and Melrose (CD1),.9
306,Brooklyn,Park Slope and Carroll Gardens (CD6),0.25
209,Bronx,Parkchester and Soundview (CD9),0.25
413,Queens,Queens Village (CD13),0.25
406,Queens,Rego Park and Forest Hills (CD6),0.25
405,Queens,Ridgewood and Maspeth (CD5),0.25
208,Bronx,Riverdale and Fieldston (CD8),0.25
414,Queens,Rockaway and Broad Channel (CD14),0.25
315,Brooklyn,Sheepshead Bay (CD15),0.25
502,Staten Island,South Beach and Willowbrook (CD2),0.25
309,Brooklyn,South Crown Heights and Lefferts Gardens (CD9),0.25
410,Queens,South Ozone Park and Howard Beach (CD10),0.25
501,Staten Island,St. George and Stapleton (CD1),0.25
106,Manhattan,Stuyvesant Town and Turtle Bay (CD6),0.25
307,Brooklyn,Sunset Park (CD7),0.25
210,Bronx,Throgs Neck and Co-op City (CD10),0.25
503,Staten Island,Tottenville and Great Kills (CD3),0.25
108,Manhattan,Upper East Side (CD8),0.25
107,Manhattan,Upper West Side (CD7),0.25
112,Manhattan,Washington Heights and Inwood (CD12),0.25
212,Bronx,Williamsbridge and Baychester (CD12),0.25
402,Queens,Woodside and Sunnyside (CD2),0.25
