NEIGHBORHOOD,GEOCODE,VALUE
" Kingsbridge - Riverdale",101,0.1
" Northeast Bronx",102,0.1
" Fordham - Bronx Pk",103,0.1
" Pelham - Throgs Neck",104,0.1
" Crotona -Tremont",105,0.25
" High Bridge - Morrisania",106,0.25
" Hunts Point - Mott Haven",107,0.25
" Greenpoint",201,0.1
" Downtown - Heights - Slope",202,0.1
" Bedford Stuyvesant - Crown Heights",203,0.1
" East New York",204,0.1
" Sunset Park",205,0.1
" Borough Park",206,0.1
" East Flatbush - Flatbush",207,0.1
" Canarsie - Flatlands",208,0.1
" Bensonhurst - Bay Ridge",209,0.1
" Coney Island - Sheepshead Bay",210,0.1
" Williamsburg - Bushwick",211,0.1
" Washington Heights",301,0.1
" Central Harlem - Morningside Heights",302,0.1
" East Harlem",303,0.1
" Upper West Side",304,0.1
" Upper East Side",305,0.1
" Chelsea - Clinton",306,0.1
" Gramercy Park - Murray Hill",307,0.1
" Greenwich Village - SoHo",308,0.1
" Union Square - Lower East Side",309,0.1
" Lower Manhattan",310,0.1
" Long Island City - Astoria",401,0.1
" West Queens",402,0.1
" Flushing - Clearview",403,0.1
" Bayside - Little Neck",404,0.1
" Ridgewood - Forest Hills",405,0.1
" Fresh Meadows",406,0.1
" Southwest Queens",407,0.1
" Jamaica",408,0.1
" Southeast Queens",409,0.1
" Rockaways",410,0.1
" Port Richmond",501,0.1
" Stapleton - St. George",502,0.1
" Willowbrook",503,0.1
" South Beach - Tottenville",504,0.1
