"END_DATE","HEAT_ED_VISIT_COUNT","MAX_DAILY_TEMP"
2021-05-01,1,64
2021-05-02,1,83
2021-05-03,3,61
2021-05-04,0,67
2021-05-05,1,61
2021-05-06,0,66
2021-05-07,1,62
2021-05-08,0,54
2021-05-09,0,63
2021-05-10,1,59
2021-05-11,1,67
2021-05-12,0,68
2021-05-13,1,70
2021-05-14,1,76
2021-05-15,1,76
2021-05-16,2,79
2021-05-17,1,77
2021-05-18,3,83
2021-05-19,1,86
2021-05-20,2,75
2021-05-21,1,76
2021-05-22,5,88
2021-05-23,6,87
2021-05-24,3,68
2021-05-25,0,71
2021-05-26,3,87
2021-05-27,1,83
2021-05-28,1,66
2021-05-29,0,52
2021-05-30,0,52
2021-05-31,0,70
2021-06-01,1,78
2021-06-02,0,75
2021-06-03,0,73
2021-06-04,1,78
2021-06-05,12,93
2021-06-06,14,94
2021-06-07,17,96
2021-06-08,9,96
2021-06-09,9,91
2021-06-10,4,82
2021-06-11,2,68
2021-06-12,0,69
2021-06-13,1,76
2021-06-14,1,74
2021-06-15,1,82
2021-06-16,0,76
2021-06-17,3,78
2021-06-18,3,85
2021-06-19,3,90
2021-06-20,6,88
2021-06-21,3,92
2021-06-22,2,82
2021-06-23,0,76
2021-06-24,0,78
2021-06-25,1,80
2021-06-26,0,88
2021-06-27,14,93
2021-06-28,21,98
2021-06-29,47,104
2021-06-30,64,103
2021-07-01,10,87
2021-07-02,4,78
2021-07-03,1,66
2021-07-04,4,78
2021-07-05,4,84
2021-07-06,16,99
2021-07-07,23,98
2021-07-08,9,90
2021-07-09,4,91
2021-07-10,4,82
2021-07-11,1,83
2021-07-12,4,85
2021-07-13,1,73
2021-07-14,7,93
2021-07-15,8,92
2021-07-16,25,98
2021-07-17,12,97
2021-07-18,1,87
2021-07-19,1,83
2021-07-20,3,89
2021-07-21,2,85
2021-07-22,1,82
2021-07-23,0,83
2021-07-24,1,83
2021-07-25,0,87
2021-07-26,4,90
2021-07-27,4,90
2021-07-28,4,82
2021-07-29,2,79
2021-07-30,3,84
2021-07-31,0,79
2021-08-01,2,77
2021-08-02,3,81
2021-08-03,1,79
2021-08-04,0,75
2021-08-05,1,82
2021-08-06,2,89
2021-08-07,1,88
2021-08-08,0,79
2021-08-09,1,78
2021-08-10,7,89
2021-08-11,19,97
2021-08-12,32,101
2021-08-13,25,99
2021-08-14,13,93
2021-08-15,1,82
2021-08-16,1,82
2021-08-17,1,83
2021-08-18,0,90
2021-08-19,6,92
2021-08-20,2,84
2021-08-21,2,86
2021-08-22,0,76
2021-08-23,2,88
2021-08-24,4,91
2021-08-25,6,94
2021-08-26,15,100
2021-08-27,14,100
2021-08-28,0,88
2021-08-29,3,76
2021-08-30,8,92
2021-08-31,3,87
2021-09-01,1,82
2021-09-02,0,77
2021-09-03,0,76
2021-09-04,0,80
2021-09-05,1,76
2021-09-06,3,84
2021-09-07,1,83
2021-09-08,2,88
2021-09-09,1,77
2021-09-10,0,76
2021-09-11,0,79
2021-09-12,1,86
2021-09-13,2,87
2021-09-14,1,81
2021-09-15,3,92
2021-09-16,0,77
2021-09-17,0,75
2021-09-18,4,86
2021-09-19,1,77
2021-09-20,1,75
2021-09-21,2,76
2021-09-22,0,82
2021-09-23,0,86
2021-09-24,1,76
2021-09-25,0,76
2021-09-26,1,74
2021-09-27,0,81
2021-09-28,0,74
2021-09-29,0,70
2021-09-30,0,67
