GEOCODE,GEONAME,VALUE
1,Mott Haven/Hunts Point,1
2,Morrisania/East Tremont,0.25
3,Highbridge/South Concourse,0.25
4,University Heights/Fordham,0.25
5,Kingsbridge Heights/Mosholu,0.25
6,Riverdale/Kingsbridge,0.25
7,Soundview/Parkchester,0.25
8,Throgs Neck/Co-op City,0.25
9,Pelham Parkway,0.25
10,Williamsbridge/Baychester,0.25
11,Williamsburg/Greenpoint,-0.5
12,Brooklyn Heights/Fort Greene,0.25
13,Bedford Stuyvesant,0.25
14,Bushwick,0.25
15,East New York/Starret City,0.25
16,Park Slope/Carroll Gardens,0.25
17,Sunset Park,0.25
18,N. Crown Heights/Prospect Heights,0.25
19,South Crown Heights,0.25
20,Bay Ridge,0.25
21,Bensonhurst,0.25
22,Borough Park,0.25
23,Coney Island,0.25
24,Flatbush,0.25
25,Sheepshead Bay/Gravesend,0.25
26,Brownsville/Ocean Hill,0.25
27,East Flatbush,0.25
28,Flatlands/Canarsie,0.25
29,Greenwich Village/Financial District,0.25
30,Lower East Side/Chinatown,0.25
31,Chelsea/Clinton/Midtown,0.25
32,Stuyvesant Town/Turtle Bay,0.25
33,Upper West Side,0.25
34,Upper East Side,0.25
35,Morningside Heights/Hamilton Heights,0.25
36,Central Harlem,0.25
37,East Harlem,0.25
38,Washington Heights/Inwood,0.25
39,Astoria,0.25
40,Sunnyside/Woodside,0.25
41,Jackson Heights,0.25
42,Elmhurst/Corona,0.25
43,Middle Village/Ridgewood,0.25
44,Forest Hills/Rego Park,0.25
45,Flushing/Whitestone,0.25
46,Hillcrest/Fresh Meadows,0.25
47,Kew Gardens/Woodhaven,0.25
48,Howard Beach/South Ozone Park,0.25
49,Bayside/Little Neck,0.25
50,Jamaica,0.25
51,Bellerose/Rosedale,0.25
52,Rockaways,0.25
53,North Shore,0.25
54,Mid Island,0.25
55,South Shore,0.25
