GEOCODE,GEONAME,VALUE
101,Kingsbridge - Riverdale,0.1
102,Northeast Bronx,0.1
103,Fordham - Bronx Pk,0.1
104,Pelham - Throgs Neck,0.1
105106107,South Bronx,0.25
201,Greenpoint,0.1
202,Downtown - Heights - Slope,0.1
203,Bedford Stuyvesant - Crown Heights,0.1
204,East New York,0.1
205,Sunset Park,0.1
206,Borough Park,0.1
207,East Flatbush - Flatbush,0.1
208,Canarsie - Flatlands,0.1
209,Bensonhurst - Bay Ridge,0.1
210,Coney Island - Sheepshead Bay,0.1
211,Williamsburg - Bushwick,0.1
301,Washington Heights,0.1
302,Central Harlem - Morningside Heights,0.1
303,East Harlem,0.1
304,Upper West Side,0.1
305307,Upper East Side-Gramercy,0.1
306308,Chelsea-Village  ,0.1
309310,Union Square-Lower Manhattan,0.1
401,Long Island City - Astoria,0.1
402,West Queens,0.1
403,Flushing - Clearview,0.1
404406,Bayside Little Neck-Fresh Meadows,0.1
405,Ridgewood - Forest Hills,0.1
407,Southwest Queens,0.1
408,Jamaica,0.1
409,Southeast Queens,0.1
410,Rockaways,0.1
501502,Northern SI,0.1
503504,Southern SI,0.1
