END_DATE,MAX_DAILY_TEMP,HEAT_ED_VISIT_COUNT
5/1/2017,73,0
5/2/2017,78,0
5/3/2017,72,0
5/4/2017,66,0
5/5/2017,64,0
5/6/2017,67,0
5/7/2017,62,0
5/8/2017,62,0
5/9/2017,64,0
5/10/2017,65,0
5/11/2017,64,0
5/12/2017,64,0
5/13/2017,57,0
5/14/2017,70,0
5/15/2017,70,0
5/16/2017,83,0
5/17/2017,94,8
5/18/2017,97,34
5/19/2017,96,20
5/20/2017,93,0
5/21/2017,71,0
5/22/2017,63,0
5/23/2017,70,0
5/24/2017,69,0
5/25/2017,65,0
5/26/2017,76,0
5/27/2017,72,0
5/28/2017,71,0
5/29/2017,65,0
5/30/2017,64,0
5/31/2017,78,0
6/1/2017,82,0
6/2/2017,79,0
6/3/2017,74,0
6/4/2017,72,0
6/5/2017,67,0
6/6/2017,64,0
6/7/2017,70,0
6/8/2017,71,0
6/9/2017,83,0
6/10/2017,88,10
6/11/2017,94,28
6/12/2017,96,35
6/13/2017,101,39
6/14/2017,94,6
6/15/2017,76,0
6/16/2017,70,0
6/17/2017,74,0
6/18/2017,88,5
6/19/2017,91,7
6/20/2017,86,0
6/21/2017,87,5
6/22/2017,86,0
6/23/2017,92,0
6/24/2017,86,7
6/25/2017,85,0
6/26/2017,81,0
6/27/2017,79,0
6/28/2017,81,0
6/29/2017,83,0
6/30/2017,94,7
7/1/2017,87,0
7/2/2017,91,12
7/3/2017,90,5
7/4/2017,87,5
7/5/2017,85,7
7/6/2017,81,0
7/7/2017,85,0
7/8/2017,88,0
7/9/2017,85,0
7/10/2017,88,0
7/11/2017,92,6
7/12/2017,95,7
7/13/2017,100,20
7/14/2017,80,0
7/15/2017,86,0
7/16/2017,87,8
7/17/2017,91,0
7/18/2017,91,0
7/19/2017,97,17
7/20/2017,102,34
7/21/2017,95,18
7/22/2017,92,9
7/23/2017,83,0
7/24/2017,78,0
7/25/2017,71,0
7/26/2017,78,0
7/27/2017,78,0
7/28/2017,86,0
7/29/2017,82,0
7/30/2017,82,0
7/31/2017,89,0
8/1/2017,91,5
8/2/2017,90,5
8/3/2017,89,0
8/4/2017,88,6
8/5/2017,81,0
8/6/2017,78,0
8/7/2017,75,0
8/8/2017,81,0
8/9/2017,85,0
8/10/2017,86,0
8/11/2017,82,0
8/12/2017,78,0
8/13/2017,85,0
8/14/2017,83,0
8/15/2017,77,0
8/16/2017,86,6
8/17/2017,82,0
8/18/2017,90,0
8/19/2017,89,8
8/20/2017,85,0
8/21/2017,88,0
8/22/2017,102,7
8/23/2017,85,0
8/24/2017,81,0
8/25/2017,78,0
8/26/2017,77,0
8/27/2017,77,0
8/28/2017,75,0
8/29/2017,71,0
8/30/2017,80,0
8/31/2017,82,0
9/1/2017,73,0
9/2/2017,69,0
9/3/2017,72,0
9/4/2017,82,0
9/5/2017,88,0
9/6/2017,80,0
9/7/2017,75,0
9/8/2017,73,0
9/9/2017,69,0
9/10/2017,73,0
9/11/2017,78,0
9/12/2017,82,0
9/13/2017,84,0
9/14/2017,84,0
9/15/2017,83,0
9/16/2017,83,0
9/17/2017,82,0
9/18/2017,74,0
9/19/2017,78,0
9/20/2017,78,0
9/21/2017,79,0
9/22/2017,81,0
9/23/2017,86,0
9/24/2017,92,7
9/25/2017,88,0
9/26/2017,85,0
9/27/2017,88,0
9/28/2017,77,0
9/29/2017,69,0
9/30/2017,66,0
5/1/2018,82,0
5/2/2018,90,11
5/3/2018,93,10
5/4/2018,84,0
5/5/2018,83,0
5/6/2018,68,0
5/7/2018,75,0
5/8/2018,72,0
5/9/2018,74,0
5/10/2018,66,0
5/11/2018,73,0
5/12/2018,69,0
5/13/2018,56,0
5/14/2018,71,0
5/15/2018,92,6
5/16/2018,70,0
5/17/2018,73,0
5/18/2018,70,0
5/19/2018,62,0
5/20/2018,84,5
5/21/2018,79,0
5/22/2018,70,0
5/23/2018,82,0
