END_DATE,MAX_DAILY_TEMP,HEAT_ED_VISIT_COUNT
2017-09-07,75,0
2017-09-08,73,0
2017-09-09,69,0
2017-09-10,73,0
2017-09-11,78,1
2017-09-12,82,0
2017-09-13,84,0
2017-09-14,84,2
2017-09-15,83,1
2017-09-16,83,3
2017-09-17,82,1
2017-09-18,74,0
2017-09-19,78,0
2017-09-20,78,3
2017-09-21,79,1
2017-09-22,81,0
2017-09-23,86,1
2017-09-24,92,7
2017-09-25,88,3
2017-09-26,85,0
2017-09-27,88,3
2017-09-28,77,1
2017-09-29,69,0
2017-09-30,66,0
2018-05-01,82,0
2018-05-02,90,10
2018-05-03,93,11
2018-05-04,84,4
2018-05-05,83,1
2018-05-06,68,0
2018-05-07,75,2
2018-05-08,72,1
2018-05-09,74,0
2018-05-10,66,1
2018-05-11,73,0
2018-05-12,69,1
2018-05-13,56,1
2018-05-14,71,2
2018-05-15,92,5
2018-05-16,70,1
2018-05-17,73,0
2018-05-18,70,0
2018-05-19,62,1
2018-05-20,84,4
2018-05-21,79,2
2018-05-22,70,0
2018-05-23,82,2
2018-05-24,86,5
2018-05-25,89,3
2018-05-26,92,11
2018-05-27,83,1
2018-05-28,70,0
2018-05-29,88,5
2018-05-30,78,0
2018-05-31,70,2
2018-06-01,84,3
2018-06-02,90,7
2018-06-03,77,0
2018-06-04,72,0
2018-06-05,77,2
2018-06-06,72,1
2018-06-07,71,3
2018-06-08,83,4
2018-06-09,81,3
2018-06-10,75,0
2018-06-11,73,1
2018-06-12,75,0
2018-06-13,82,0
2018-06-14,86,5
2018-06-15,81,1
2018-06-16,86,4
2018-06-17,91,6
2018-06-18,96,17
2018-06-19,91,9
2018-06-20,85,2
2018-06-21,86,4
2018-06-22,83,1
2018-06-23,70,1
2018-06-24,88,4
2018-06-25,88,1
2018-06-26,79,1
2018-06-27,75,1
2018-06-28,89,3
2018-06-29,92,14
2018-06-30,96,26
2018-07-01,100,56
2018-07-02,99,45
2018-07-03,103,49
2018-07-04,96,23
2018-07-05,95,19
2018-07-06,87,5
2018-07-07,81,1
2018-07-08,84,1
2018-07-09,90,7
2018-07-10,97,16
2018-07-11,87,13
2018-07-12,85,5
2018-07-13,86,3
2018-07-14,91,10
2018-07-15,89,6
2018-07-16,98,12
2018-07-17,96,9
2018-07-18,85,7
2018-07-19,83,5
2018-07-20,84,8
2018-07-21,79,3
2018-07-22,87,0
2018-07-23,92,1
2018-07-24,92,4
2018-07-25,84,3
2018-07-26,91,5
2018-07-27,95,4
2018-07-28,90,5
2018-07-29,84,4
2018-07-30,82,1
2018-07-31,83,1
2018-08-01,97,7
2018-08-02,95,11
2018-08-03,95,4
2018-08-04,92,4
2018-08-05,94,8
2018-08-06,101,21
2018-08-07,98,18
2018-08-08,98,17
2018-08-09,91,4
2018-08-10,91,8
2018-08-11,86,1
2018-08-12,87,6
2018-08-13,78,2
2018-08-14,88,1
2018-08-15,91,4
2018-08-16,93,8
2018-08-17,95,11
2018-08-18,93,1
2018-08-19,76,0
2018-08-20,77,0
2018-08-21,81,0
2018-08-22,87,1
2018-08-23,82,1
2018-08-24,85,1
2018-08-25,81,0
2018-08-26,87,0
2018-08-27,94,7
2018-08-28,102,26
2018-08-29,102,23
2018-08-30,94,21
2018-08-31,87,4
2018-09-01,79,0
2018-09-02,84,1
2018-09-03,100,14
2018-09-04,96,14
2018-09-05,95,19
2018-09-06,103,30
2018-09-07,78,3
2018-09-08,73,0
2018-09-09,66,0
2018-09-10,67,4
2018-09-11,75,1
2018-09-12,78,3
2018-09-13,78,2
2018-09-14,77,2
2018-09-15,83,0
2018-09-16,86,5
2018-09-17,79,1
2018-09-18,90,0
2018-09-19,84,2
2018-09-20,74,0
2018-09-21,74,0
2018-09-22,76,0
2018-09-23,68,0
2018-09-24,72,0
2018-09-25,78,2
2018-09-26,88,2
2018-09-27,79,0
2018-09-28,72,1
2018-09-29,75,1
2018-09-30,73,0
2019-05-01,55,0
2019-05-02,71,2
2019-05-03,58,0
2019-05-04,68,0
2019-05-05,57,0
2019-05-06,67,0
2019-05-07,65,1
2019-05-08,68,0
2019-05-09,61,0
2019-05-10,73,1
2019-05-11,73,0
2019-05-12,67,0
2019-05-13,50,0
2019-05-14,52,0
2019-05-15,69,1
2019-05-16,73,2
2019-05-17,78,0
2019-05-18,75,0
2019-05-19,76,0
2019-05-20,89,3
2019-05-21,84,0
2019-05-22,76,0
2019-05-23,75,0
2019-05-24,74,0
2019-05-25,70,0
2019-05-26,89,5
2019-05-27,81,2
2019-05-28,78,1
2019-05-29,70,0
2019-05-30,68,0
2019-05-31,81,1
2019-06-01,80,1
2019-06-02,83,4
2019-06-03,78,1
2019-06-04,73,0
2019-06-05,82,2
2019-06-06,83,1
2019-06-07,81,2
2019-06-08,80,4
2019-06-09,78,3
2019-06-10,72,1
2019-06-11,77,1
2019-06-12,74,2
2019-06-13,69,1
2019-06-14,76,1
2019-06-15,84,0
2019-06-16,83,3
2019-06-17,76,0
2019-06-18,75,0
2019-06-19,72,1
2019-06-20,78,2
2019-06-21,78,1
2019-06-22,80,3
2019-06-23,86,9
2019-06-24,86,4
2019-06-25,88,1
2019-06-26,90,10
2019-06-27,90,12
2019-06-28,93,15
2019-06-29,94,12
2019-06-30,85,15
2019-07-01,88,9
2019-07-02,89,5
2019-07-03,89,9
2019-07-04,93,11
2019-07-05,90,3
2019-07-06,95,8
2019-07-07,85,13
2019-07-08,82,2
2019-07-09,89,5
2019-07-10,91,13
2019-07-11,88,4
2019-07-12,89,8
2019-07-13,89,9
2019-07-14,92,16
2019-07-15,89,6
2019-07-16,94,5
2019-07-17,102,30
2019-07-18,89,11
2019-07-19,102,46
2019-07-20,104,106
2019-07-21,107,112
2019-07-22,94,46
2019-07-23,77,8
2019-07-24,85,6
2019-07-25,86,4
2019-07-26,88,7
2019-07-27,87,4
2019-07-28,93,13
2019-07-29,95,15
2019-07-30,98,24
2019-07-31,92,12
2019-08-01,88,5
2019-08-02,88,5
2019-08-03,89,10
2019-08-04,88,6
2019-08-05,83,4
2019-08-06,85,1
2019-08-07,89,1
2019-08-08,92,4
2019-08-09,87,0
2019-08-10,84,1
2019-08-11,83,2
2019-08-12,89,4
2019-08-13,83,1
2019-08-14,85,0
2019-08-15,85,4
2019-08-16,83,1
2019-08-17,90,4
2019-08-18,98,14
2019-08-19,97,13
2019-08-20,89,4
2019-08-21,94,2
2019-08-22,93,4
2019-08-23,83,1
2019-08-24,77,2
2019-08-25,77,1
2019-08-26,74,0
2019-08-27,76,0
2019-08-28,76,1
2019-08-29,84,2
2019-08-30,89,2
2019-08-31,84,0
2019-09-01,78,0
2019-09-02,79,2
2019-09-03,82,2
2019-09-04,92,1
2019-09-05,85,1
2019-09-06,72,1
2019-09-07,77,0
2019-09-08,79,0
2019-09-09,77,0
2019-09-10,78,0
2019-09-11,94,2
2019-09-12,87,4
2019-09-13,73,0
2019-09-14,78,1
2019-09-15,85,3
2019-09-16,79,1
2019-09-17,79,0
2019-09-18,73,1
2019-09-19,71,0
2019-09-20,79,0
2019-09-21,86,2
2019-09-22,86,1
2019-09-23,91,2
2019-09-24,86,1
2019-09-25,79,1
2019-09-26,84,1
2019-09-27,78,1
2019-09-28,82,2
2019-09-29,79,0
2019-09-30,73,0
2020-05-01,66,1
2020-05-02,73,1
2020-05-03,81,0
2020-05-04,78,1
2020-05-05,64,0
2020-05-06,61,0
2020-05-07,67,0
2020-05-08,64,0
2020-05-09,49,0
2020-05-10,65,0
2020-05-11,63,0
2020-05-12,60,0
2020-05-13,64,0
2020-05-14,65,1
2020-05-15,86,2
2020-05-16,82,2
2020-05-17,70,0
2020-05-18,67,2
2020-05-19,69,0
2020-05-20,65,0
2020-05-21,67,0
2020-05-22,77,0
2020-05-23,67,1
2020-05-24,69,1
2020-05-25,67,0
2020-05-26,77,0
2020-05-27,78,1
2020-05-28,76,0
2020-05-29,83,1
2020-05-30,84,2
2020-05-31,81,1
2020-06-01,72,0
2020-06-02,76,1
2020-06-03,83,0
2020-06-04,88,2
2020-06-05,84,0
2020-06-06,90,4
2020-06-07,83,0
2020-06-08,81,1
2020-06-09,91,2
2020-06-10,88,3
2020-06-11,83,2
2020-06-12,88,2
2020-06-13,82,2
2020-06-14,75,1
2020-06-15,77,0
2020-06-16,80,0
2020-06-17,79,2
2020-06-18,78,0
2020-06-19,86,2
2020-06-20,88,3
2020-06-21,89,5
2020-06-22,93,7
2020-06-23,88,8
2020-06-24,89,4
2020-06-25,89,3
2020-06-26,90,1
2020-06-27,86,4
2020-06-28,93,5
2020-06-29,89,4
2020-06-30,81,1
2020-07-01,84,1
2020-07-02,95,6
2020-07-03,94,4
2020-07-04,88,6
2020-07-05,96,11
2020-07-06,96,3
2020-07-07,84,4
2020-07-08,93,5
2020-07-09,92,8
2020-07-10,83,2
2020-07-11,92,2
2020-07-12,93,8
2020-07-13,91,6
2020-07-14,89,6
2020-07-15,85,1
2020-07-16,80,0
2020-07-17,91,4
2020-07-18,95,15
2020-07-19,99,17
2020-07-20,99,19
2020-07-21,95,24
2020-07-22,100,22
2020-07-23,97,10
2020-07-24,88,5
2020-07-25,92,6
2020-07-26,95,17
2020-07-27,97,18
2020-07-28,97,24
2020-07-29,95,15
2020-07-30,96,11
2020-07-31,85,5
2020-08-01,90,2
2020-08-02,99,12
2020-08-03,93,11
2020-08-04,89,1
2020-08-05,90,6
2020-08-06,85,0
2020-08-07,80,1
2020-08-08,87,1
2020-08-09,92,0
2020-08-10,97,8
2020-08-11,95,8
2020-08-12,97,11
2020-08-13,85,2
2020-08-14,88,1
2020-08-15,85,2
2020-08-16,77,0
2020-08-17,83,1
2020-08-18,86,0
2020-08-19,81,1
2020-08-20,83,1
2020-08-21,88,2
2020-08-22,92,3
2020-08-23,89,3
2020-08-24,94,6
2020-08-25,94,3
2020-08-26,81,0
2020-08-27,97,4
2020-08-28,89,1
2020-08-29,88,0
2020-08-30,81,0
2020-08-31,77,1
2020-09-01,81,0
2020-09-02,85,1
2020-09-03,89,2
2020-09-04,87,2
2020-09-05,82,0
2020-09-06,85,1
2020-09-07,81,1
2020-09-08,85,1
2020-09-09,82,0
2020-09-10,90,1
2020-09-11,80,0
2020-09-12,73,0
2020-09-13,77,0
2020-09-14,77,1
2020-09-15,71,0
2020-09-16,73,0
2020-09-17,77,0
2020-09-18,73,0
2020-09-19,66,1
2020-09-20,64,1
2020-09-21,66,0
2020-09-22,74,1
2020-09-23,81,0
2020-09-24,78,1
2020-09-25,80,0
2020-09-26,77,0
2020-09-27,78,0
2020-09-28,79,2
2020-09-29,74,0
2020-09-30,73,0
2021-05-01,65,1
2021-05-02,83,1
2021-05-03,78,3
2021-05-04,69,0
2021-05-05,61,1
2021-05-06,66,0
2021-05-07,63,1
2021-05-08,57,0
2021-05-09,64,0
2021-05-10,60,1
2021-05-11,68,1
2021-05-12,68,0
2021-05-13,71,1
2021-05-14,76,1
2021-05-15,77,1
2021-05-16,79,2
2021-05-17,78,1
2021-05-18,83,3
2021-05-19,86,1
