END_DATE,HEAT_ED_VISIT_COUNT,MAX_DAILY_TEMP
2023-05-01,0,62
2023-05-02,0,57
2023-05-03,0,57
2023-05-04,0,56
2023-05-05,1,62
2023-05-06,0,71
2023-05-07,0,77
2023-05-08,1,77
2023-05-09,1,67
2023-05-10,1,73
2023-05-11,1,82
2023-05-12,8,86
2023-05-13,3,81
2023-05-14,1,73
2023-05-15,1,75
2023-05-16,2,80
2023-05-17,0,73
2023-05-18,0,58
2023-05-19,0,69
2023-05-20,9,65
2023-05-21,0,69
2023-05-22,0,74
2023-05-23,0,65
2023-05-24,0,77
2023-05-25,0,67
2023-05-26,1,73
2023-05-27,0,75
2023-05-28,3,77
2023-05-29,1,73
2023-05-30,0,67
2023-05-31,0,75
2023-06-01,5,85
2023-06-02,8,89
2023-06-03,1,70
2023-06-04,0,68
2023-06-05,0,75
2023-06-06,1,78
2023-06-07,1,69
2023-06-08,0,71
2023-06-09,0,74
2023-06-10,2,77
2023-06-11,1,82
2023-06-12,0,82
2023-06-13,0,80
2023-06-14,0,75
2023-06-15,0,78
2023-06-16,0,81
2023-06-17,0,78
2023-06-18,2,79
2023-06-19,0,78
2023-06-20,1,74
2023-06-21,1,71
2023-06-22,0,70
2023-06-23,0,72
2023-06-24,0,78
2023-06-25,7,84
2023-06-26,1,83
2023-06-27,2,82
2023-06-28,2,84
2023-06-29,2,82
2023-06-30,2,85
2023-07-01,2,82
2023-07-02,4,92
2023-07-03,9,93
2023-07-04,6,88
2023-07-05,11,92
2023-07-06,19,94
2023-07-07,12,93
2023-07-08,9,90
2023-07-09,9,88
2023-07-10,3,86
2023-07-11,10,89
2023-07-12,13,92
2023-07-13,9,96
2023-07-14,5,88
2023-07-15,14,94
2023-07-16,4,85
2023-07-17,10,94
2023-07-18,6,93
2023-07-19,7,84
2023-07-20,4,85
2023-07-21,6,87
2023-07-22,4,83
2023-07-23,4,86
2023-07-24,5,85
2023-07-25,3,89
2023-07-26,6,89
2023-07-27,25,101
2023-07-28,28,96
2023-07-29,23,96
2023-07-30,4,80
2023-07-31,2,85
2023-08-01,2,79
2023-08-02,0,79
2023-08-03,1,80
2023-08-04,1,77
2023-08-05,5,84
2023-08-06,3,85
2023-08-07,1,84
2023-08-08,0,82
2023-08-09,0,87
2023-08-10,0,83
2023-08-11,6,85
2023-08-12,2,88
2023-08-13,8,88
2023-08-14,0,88
2023-08-15,2,79
2023-08-16,1,83
2023-08-17,0,83
2023-08-18,2,83
2023-08-19,1,80
2023-08-20,6,87
2023-08-21,5,90
2023-08-22,1,78
2023-08-23,0,78
2023-08-24,2,73
2023-08-25,0,79
2023-08-26,5,84
2023-08-27,0,82
2023-08-28,1,76
2023-08-29,0,78
2023-08-30,1,85
2023-08-31,0,76
2023-09-01,0,75
2023-09-02,1,78
2023-09-03,3,89
2023-09-04,12,92
2023-09-05,11,95
2023-09-06,24,96
2023-09-07,21,99
2023-09-08,9,97
2023-09-09,4,92
2023-09-10,1,79
2023-09-11,1,85
2023-09-12,2,83
2023-09-13,1,83
2023-09-14,2,78
2023-09-15,1,69
2023-09-16,0,77
2023-09-17,0,77
