END_DATE,HEAT_ED_VISIT_COUNT,MAX_DAILY_TEMP
2024-05-01,1,75
2024-05-02,3,75
2024-05-03,0,64
2024-05-04,1,60
2024-05-05,2,53
2024-05-06,0,73
2024-05-07,2,80
2024-05-08,3,86
2024-05-09,0,70
2024-05-10,0,56
2024-05-11,2,58
2024-05-12,0,55
2024-05-13,0,64
2024-05-14,2,72
2024-05-15,1,63
2024-05-16,1,65
2024-05-17,0,71
2024-05-18,14,67
2024-05-19,1,72
2024-05-20,0,71
2024-05-21,5,72
2024-05-22,3,82
2024-05-23,1,82
2024-05-24,6,85
2024-05-25,4,79
2024-05-26,6,82
2024-05-27,2,76
2024-05-28,5,81
2024-05-29,2,76
2024-05-30,1,71
2024-05-31,2,75
2024-06-01,7,84
2024-06-02,2,82
2024-06-03,1,85
2024-06-04,3,80
2024-06-05,2,79
2024-06-06,3,84
2024-06-07,5,85
2024-06-08,4,78
2024-06-09,2,75
2024-06-10,1,75
2024-06-11,0,73
2024-06-12,0,76
2024-06-13,1,84
2024-06-14,5,86
2024-06-15,1,81
2024-06-16,2,76
2024-06-17,4,84
2024-06-18,10,87
2024-06-19,14,91
2024-06-20,22,93
2024-06-21,51,96
2024-06-22,40,98
2024-06-23,36,98
2024-06-24,4,83
2024-06-25,7,91
2024-06-26,24,93
2024-06-27,2,85
2024-06-28,2,77
2024-06-29,0,79
2024-06-30,6,93
2024-07-01,2,79
2024-07-02,5,83
2024-07-03,5,83
