geo_entity_id,name,borough_id
101,Financial District (CD1),3
102,Greenwich Village and Soho (CD2),3
103,Lower East Side and Chinatown (CD3),3
104,Clinton and Chelsea (CD4),3
105,Midtown (CD5),3
106,Stuyvesant Town and Turtle Bay (CD6),3
107,Upper West Side (CD7),3
108,Upper East Side (CD8),3
109,Morningside Heights and Hamilton Heights (CD9),3
110,Central Harlem (CD10),3
111,East Harlem (CD11),3
112,Washington Heights and Inwood (CD12),3
201,Mott Haven and Melrose (CD1),1
202,Hunts Point and Longwood (CD2),1
203,Morrisania and Crotona (CD3),1
204,Highbridge and Concourse (CD4),1
205,Fordham and University Heights (CD5),1
206,Belmont and East Tremont (CD6),1
207,Kingsbridge Heights and Bedford (CD7),1
208,Riverdale and Fieldston (CD8),1
209,Parkchester and Soundview (CD9),1
210,Throgs Neck and Co-op City (CD10),1
211,Morris Park and Bronxdale (CD11),1
212,Williamsbridge and Baychester (CD12),1
301,Greenpoint and Williamsburg (CD1),2
302,Fort Greene and Brooklyn Heights (CD2),2
303,Bedford Stuyvesant (CD3),2
304,Bushwick (CD4),2
305,East New York and Starrett City (CD5),2
306,Park Slope and Carroll Gardens (CD6),2
307,Sunset Park (CD7),2
308,Crown Heights and Prospect Heights (CD8),2
309,South Crown Heights and Lefferts Gardens (CD9),2
310,Bay Ridge and Dyker Heights (CD10),2
311,Bensonhurst (CD11),2
312,Borough Park (CD12),2
313,Coney Island (CD13),2
314,Flatbush and Midwood (CD14),2
315,Sheepshead Bay (CD15),2
316,Brownsville (CD16),2
317,East Flatbush (CD17),2
318,Flatlands and Canarsie (CD18),2
401,Long Island City and Astoria (CD1),4
402,Woodside and Sunnyside (CD2),4
403,Jackson Heights (CD3),4
404,Elmhurst and Corona (CD4),4
405,Ridgewood and Maspeth (CD5),4
406,Rego Park and Forest Hills (CD6),4
407,Flushing and Whitestone (CD7),4
408,Hillcrest and Fresh Meadows (CD8),4
409,Kew Gardens and Woodhaven (CD9),4
410,South Ozone Park and Howard Beach (CD10),4
411,Bayside and Little Neck (CD11),4
412,Jamaica and Hollis (CD12),4
413,Queens Village (CD13),4
414,Rockaway and Broad Channel (CD14),4
501,St. George and Stapleton (CD1),5
502,South Beach and Willowbrook (CD2),5
503,Tottenville and Great Kills (CD3),5
