PUMA,Subboro
3701,6
3702,10
3703,8
3704,9
3705,2
3706,5
3707,4
3708,3
3709,7
3710,1
3801,38
3802,35
3803,36
3804,37
3805,34
3806,33
3807,31
3808,32
3809,30
3810,29
3901,55
3902,54
3903,53
4001,11
4002,14
4003,13
4004,12
4005,16
4006,18
4007,26
4008,15
4009,28
4010,27
4011,19
4012,17
4013,20
4014,22
4015,24
4016,25
4017,21
4018,23
4101,39
4102,41
4103,45
4104,49
4105,51
4106,46
4107,42
4108,44
4109,40
4110,43
4111,47
4112,50
4113,48
4114,52
