PUMA2020,GEONAME
4108,Upper East Side & Roosevelt Island
4109,Morningside Heights & Hamilton Heights
4110,Harlem
4112,Washington Heights & Inwood
4104,Chelsea & Hell's Kitchen
4103,Lower East Side & Chinatown
4107,Upper West Side
4111,East Harlem
4121,Financial District & Greenwich Village
4165,"Midtown, East Midtown, & Flatiron"
4204,Highbridge & Concourse
4205,Morris Heights & Mount Hope
4207,"Fordham, Bedford Park, & Norwood"
4208,"Riverdale, Kingsbridge, & Marble Hill"
4209,Soundview & Parkchester
4210,Co-op City & Throgs Neck
4211,Pelham Parkway & Morris Park
4212,"Wakefield, Williamsbridge, & Eastchester"
4221,"Melrose, Mott Haven, Longwood, & Hunts Point"
4263,"Morrisania, Tremont, Belmont, & West Farms"
4301,Williamsburg & Greenpoint
4302,Downtown Brooklyn & Fort Greene
4303,Bedford-Stuyvesant
4304,Bushwick
4306,Park Slope & Carroll Gardens
4307,Sunset Park & Windsor Terrace
4309,Crown Heights (South)
4310,Bay Ridge & Dyker Heights
4311,Bensonhurst & Bath Beach
4312,Borough Park & Kensington
4313,Coney Island & Brighton Beach
4314,Flatbush & Midwood
4315,Sheepshead Bay & Gravesend (East)
4316,Ocean Hill & Brownsville
4317,East Flatbush
4401,Astoria & Queensbridge
4402,"Long Island City, Sunnyside, & Woodside"
4403,Jackson Heights & East Elmhurst
4404,Elmhurst & Corona
4405,"Ridgewood, Maspeth, & Middle Village"
4407,"Flushing, Murray Hill, & Whitestone"
4408,"Fresh Meadows, Hillcrest, & Briarwood"
4409,"Kew Gardens, Richmond Hill, & Woodhaven"
4410,South Ozone Park & Howard Beach
4412,"Jamaica, St. Albans, & Hollis"
4305,East New York & Cypress Hills
4308,Crown Heights (North)
4318,Canarsie & Flatlands
4406,Forest Hills & Rego Park
4411,"Auburndale, Bayside, & Douglaston"
4413,"Queens Village, Bellerose, & Rosedale"
4414,The Rockaways
4501,North Shore
4502,Mid-Island
4503,South Shore
