report_id,title,indicator_id,data_field_name,start_date,end_date,time_type,time,geo_entity_id,geo_join_id,geo_type,neighborhood,data_value,message
73,Housing and Health ,90,Home90,2002-01-01,2002-12-31,year,2002,101,101,UHF42,Kingsbridge - Riverdale,10,
73,Housing and Health ,94,Home94,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,26.7,
73,Housing and Health ,90,Home90,2008-01-01,2008-12-31,year,2008,101,101,UHF42,Kingsbridge - Riverdale,12.6,
73,Housing and Health ,540,Heat540,2000-01-01,2000-12-31,year,2000,101,101,UHF42,Kingsbridge - Riverdale,1.3,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,540,Heat540,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,4.9,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,292,Adul292,2011-01-01,2011-12-31,year,2011,101,101,UHF42,Kingsbridge - Riverdale,20.8,
73,Housing and Health ,625,Adul625,2012-01-01,2012-12-31,year,2012,101,101,UHF42,Kingsbridge - Riverdale,8.4,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,292,Adul292,2013-01-01,2013-12-31,year,2013,101,101,UHF42,Kingsbridge - Riverdale,20.6,
73,Housing and Health ,755,Chil755,2009-01-01,2013-12-31,year,2009-13,101,101,UHF42,Kingsbridge - Riverdale,21.9,
73,Housing and Health ,777,Chil777,2010-01-01,2010-12-31,year,2010,101,101,UHF42,Kingsbridge - Riverdale,21.4,
73,Housing and Health ,777,Chil777,2007-01-01,2007-12-31,year,2007,101,101,UHF42,Kingsbridge - Riverdale,76.6,
73,Housing and Health ,777,Chil777,2009-01-01,2009-12-31,year,2009,101,101,UHF42,Kingsbridge - Riverdale,25.5,
73,Housing and Health ,777,Chil777,2015-01-01,2015-12-31,year,2015,101,101,UHF42,Kingsbridge - Riverdale,9.5,
73,Housing and Health ,25,Crow25,2011-01-01,2015-12-31,other,2011-15,101,101,UHF42,Kingsbridge - Riverdale,6.7,
73,Housing and Health ,540,Heat540,2014-01-01,2014-12-31,year,2014,101,101,UHF42,Kingsbridge - Riverdale,0,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,1201,Asth1201,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,18.9,
73,Housing and Health ,1201,Asth1201,2014-01-01,2014-12-31,year,2014,101,101,UHF42,Kingsbridge - Riverdale,38.5,
73,Housing and Health ,1204,Asth1204,2006-01-01,2006-12-31,year,2006,101,101,UHF42,Kingsbridge - Riverdale,21.3,
73,Housing and Health ,245,Home245,2017-01-01,2017-12-31,year,2017,101,101,UHF42,Kingsbridge - Riverdale,33.6,
73,Housing and Health ,94,Home94,2017-01-01,2017-12-31,year,2017,101,101,UHF42,Kingsbridge - Riverdale,24.1,
73,Housing and Health ,80,Home80,2002-01-01,2002-12-31,year,2002,101,101,UHF42,Kingsbridge - Riverdale,23.5,
73,Housing and Health ,76,Home76,2008-01-01,2008-12-31,year,2008,101,101,UHF42,Kingsbridge - Riverdale,20.2,
73,Housing and Health ,292,Adul292,2004-01-01,2004-12-31,year,2004,101,101,UHF42,Kingsbridge - Riverdale,33.6,
73,Housing and Health ,292,Adul292,2008-01-01,2008-12-31,year,2008,101,101,UHF42,Kingsbridge - Riverdale,20.2,
73,Housing and Health ,292,Adul292,2009-01-01,2009-12-31,year,2009,101,101,UHF42,Kingsbridge - Riverdale,21.2,
73,Housing and Health ,540,Heat540,2002-01-01,2002-12-31,year,2002,101,101,UHF42,Kingsbridge - Riverdale,7.6,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,540,Heat540,2006-01-01,2006-12-31,year,2006,101,101,UHF42,Kingsbridge - Riverdale,2.5,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,540,Heat540,2009-01-01,2009-12-31,year,2009,101,101,UHF42,Kingsbridge - Riverdale,0,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,540,Heat540,2011-01-01,2011-12-31,year,2011,101,101,UHF42,Kingsbridge - Riverdale,3.5,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,540,Heat540,2013-01-01,2013-12-31,year,2013,101,101,UHF42,Kingsbridge - Riverdale,3.2,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,777,Chil777,2014-01-01,2014-12-31,year,2014,101,101,UHF42,Kingsbridge - Riverdale,10.2,
73,Housing and Health ,777,Chil777,2008-01-01,2008-12-31,year,2008,101,101,UHF42,Kingsbridge - Riverdale,45.7,
73,Housing and Health ,755,Chil755,2011-01-01,2015-12-31,other,2011-15,101,101,UHF42,Kingsbridge - Riverdale,20.5,
73,Housing and Health ,755,Chil755,2010-01-01,2014-12-31,other,2010-14,101,101,UHF42,Kingsbridge - Riverdale,20.91,
73,Housing and Health ,25,Crow25,2010-01-01,2014-12-31,other,2010-14,101,101,UHF42,Kingsbridge - Riverdale,6.22,
73,Housing and Health ,755,Chil755,2012-01-01,2016-12-31,other,2012-16,101,101,UHF42,Kingsbridge - Riverdale,18.73,
73,Housing and Health ,25,Crow25,2012-01-01,2016-12-31,other,2012-16,101,101,UHF42,Kingsbridge - Riverdale,6.84,
73,Housing and Health ,1201,Asth1201,2007-01-01,2007-12-31,year,2007,101,101,UHF42,Kingsbridge - Riverdale,21.7,
73,Housing and Health ,1201,Asth1201,2010-01-01,2010-12-31,year,2010,101,101,UHF42,Kingsbridge - Riverdale,29.2,
73,Housing and Health ,1201,Asth1201,2016-01-01,2016-12-31,year,2016,101,101,UHF42,Kingsbridge - Riverdale,23.2,
73,Housing and Health ,1204,Asth1204,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,21.4,
73,Housing and Health ,1204,Asth1204,2007-01-01,2007-12-31,year,2007,101,101,UHF42,Kingsbridge - Riverdale,18.2,
73,Housing and Health ,1204,Asth1204,2011-01-01,2011-12-31,year,2011,101,101,UHF42,Kingsbridge - Riverdale,22.6,
73,Housing and Health ,1204,Asth1204,2014-01-01,2014-12-31,year,2014,101,101,UHF42,Kingsbridge - Riverdale,17,
73,Housing and Health ,90,Home90,2017-01-01,2017-12-31,year,2017,101,101,UHF42,Kingsbridge - Riverdale,14.2,
73,Housing and Health ,80,Home80,2017-01-01,2017-12-31,year,2017,101,101,UHF42,Kingsbridge - Riverdale,18.6,
73,Housing and Health ,777,Chil777,2019-01-01,2019-12-31,year,2019,101,101,UHF42,Kingsbridge - Riverdale,8,
73,Housing and Health ,80,Home80,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,21.1,
73,Housing and Health ,90,Home90,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,18.7,
73,Housing and Health ,80,Home80,2008-01-01,2008-12-31,year,2008,101,101,UHF42,Kingsbridge - Riverdale,20.2,
73,Housing and Health ,94,Home94,2008-01-01,2008-12-31,year,2008,101,101,UHF42,Kingsbridge - Riverdale,23,
73,Housing and Health ,292,Adul292,2003-01-01,2003-12-31,year,2003,101,101,UHF42,Kingsbridge - Riverdale,35.4,
73,Housing and Health ,540,Heat540,2001-01-01,2001-12-31,year,2001,101,101,UHF42,Kingsbridge - Riverdale,6.5,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,540,Heat540,2003-01-01,2003-12-31,year,2003,101,101,UHF42,Kingsbridge - Riverdale,0,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,540,Heat540,2004-01-01,2004-12-31,year,2004,101,101,UHF42,Kingsbridge - Riverdale,0,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,540,Heat540,2008-01-01,2008-12-31,year,2008,101,101,UHF42,Kingsbridge - Riverdale,2.5,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,540,Heat540,2010-01-01,2010-12-31,year,2010,101,101,UHF42,Kingsbridge - Riverdale,5,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,540,Heat540,2012-01-01,2012-12-31,year,2012,101,101,UHF42,Kingsbridge - Riverdale,3.4,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,716,Carb716,2011-01-01,2013-12-31,quarter,2011-2013,101,101,UHF42,Kingsbridge - Riverdale,4.7,Estimate is based on small numbers so should be interpreted with caution.
73,Housing and Health ,777,Chil777,2012-01-01,2012-12-31,year,2012,101,101,UHF42,Kingsbridge - Riverdale,9.8,
73,Housing and Health ,777,Chil777,2013-01-01,2013-12-31,year,2013,101,101,UHF42,Kingsbridge - Riverdale,9,
73,Housing and Health ,777,Chil777,2016-01-01,2016-12-31,year,2016,101,101,UHF42,Kingsbridge - Riverdale,9,
73,Housing and Health ,1201,Asth1201,2011-01-01,2011-12-31,year,2011,101,101,UHF42,Kingsbridge - Riverdale,26.5,
73,Housing and Health ,1201,Asth1201,2012-01-01,2012-12-31,year,2012,101,101,UHF42,Kingsbridge - Riverdale,22.4,
73,Housing and Health ,1201,Asth1201,2015-01-01,2015-12-31,year,2015,101,101,UHF42,Kingsbridge - Riverdale,24.1,
73,Housing and Health ,1204,Asth1204,2008-01-01,2008-12-31,year,2008,101,101,UHF42,Kingsbridge - Riverdale,27.2,
73,Housing and Health ,1204,Asth1204,2009-01-01,2009-12-31,year,2009,101,101,UHF42,Kingsbridge - Riverdale,30,
73,Housing and Health ,1204,Asth1204,2010-01-01,2010-12-31,year,2010,101,101,UHF42,Kingsbridge - Riverdale,25.8,
