start_date,time,geo_join_id,neighborhood,data_value,message
2005-01-01,2005-2007,305,Upper East Side,30,
2009-01-01,2009-2011,305,Upper East Side,35.4,
2015-01-01,2015-2017,305,Upper East Side,24.6,
2012-01-02,2012-2014,306,Chelsea - Clinton,75.7,
2005-01-01,2005-2007,306,Chelsea - Clinton,97.8,
2009-01-01,2009-2011,306,Chelsea - Clinton,91.6,
2015-01-01,2015-2017,306,Chelsea - Clinton,67.9,
2005-01-01,2005-2007,307,Gramercy Park - Murray Hill,42.4,
2009-01-01,2009-2011,307,Gramercy Park - Murray Hill,70,
2012-01-02,2012-2014,307,Gramercy Park - Murray Hill,48.8,
2015-01-01,2015-2017,307,Gramercy Park - Murray Hill,56.6,
2005-01-01,2005-2007,308,Greenwich Village - SoHo,19.9,
2009-01-01,2009-2011,308,Greenwich Village - SoHo,24.2,
2012-01-02,2012-2014,308,Greenwich Village - SoHo,18.5,
2015-01-01,2015-2017,308,Greenwich Village - SoHo,18,
2009-01-01,2009-2011,309,Union Square - Lower East Side,144,
2012-01-02,2012-2014,309,Union Square - Lower East Side,127,
2005-01-01,2005-2007,309,Union Square - Lower East Side,85.8,
2015-01-01,2015-2017,309,Union Square - Lower East Side,124.9,
2009-01-01,2009-2011,310,Lower Manhattan,56.8,
2015-01-01,2015-2017,310,Lower Manhattan,47.4,
2005-01-01,2005-2007,310,Lower Manhattan,57.2,
2012-01-02,2012-2014,310,Lower Manhattan,55.3,
2009-01-01,2009-2011,401,Long Island City - Astoria,75,
2015-01-01,2015-2017,401,Long Island City - Astoria,58.8,
2012-01-02,2012-2014,401,Long Island City - Astoria,59.9,
2005-01-01,2005-2007,401,Long Island City - Astoria,47.4,
2009-01-01,2009-2011,402,West Queens,72.4,
2012-01-02,2012-2014,402,West Queens,62,
2005-01-01,2005-2007,402,West Queens,61.5,
2015-01-01,2015-2017,402,West Queens,80.7,
2009-01-01,2009-2011,403,Flushing - Clearview,40,
2015-01-01,2015-2017,403,Flushing - Clearview,39.7,
2005-01-01,2005-2007,403,Flushing - Clearview,38.8,
2012-01-02,2012-2014,403,Flushing - Clearview,39.2,
2009-01-01,2009-2011,404,Bayside - Little Neck,27.5,
2012-01-02,2012-2014,404,Bayside - Little Neck,19.5,
2005-01-01,2005-2007,404,Bayside - Little Neck,23.4,
2015-01-01,2015-2017,404,Bayside - Little Neck,19,
2005-01-01,2005-2007,405,Ridgewood - Forest Hills,40.4,
2012-01-02,2012-2014,405,Ridgewood - Forest Hills,57.6,
2009-01-01,2009-2011,405,Ridgewood - Forest Hills,56.3,
