report_id,title,indicator_id,data_field_name,start_date,end_date,time_type,time,geo_entity_id,geo_join_id,geo_type,neighborhood,data_value,message
77,Outdoor Air and Health,386,Ozon386,2014-06-01,2014-09-01,Summer Seasonal,Summer 2014,101,101,UHF42,Kingsbridge - Riverdale,30.45,
77,Outdoor Air and Health,646,Air 646,2011-01-01,2011-12-31,year,2011,101,101,UHF42,Kingsbridge - Riverdale,1.6,
77,Outdoor Air and Health,383,Sulf383,2015-12-01,2016-02-29,Winter Seasonal,Winter 2015-16,101,101,UHF42,Kingsbridge - Riverdale,0.3,
77,Outdoor Air and Health,375,Nitr375,2015-12-31,2016-12-31,Annual Average,Annual Average 2016,101,101,UHF42,Kingsbridge - Riverdale,16.04,
77,Outdoor Air and Health,652,O3-A652,2012-01-02,2014-12-31,other,2012-2014,101,101,UHF42,Kingsbridge - Riverdale,10.5,
77,Outdoor Air and Health,651,PM2-651,2012-01-02,2014-12-31,other,2012-2014,101,101,UHF42,Kingsbridge - Riverdale,14.01077835,
77,Outdoor Air and Health,386,Ozon386,2017-06-01,2017-09-01,Summer Seasonal,Summer 2017,101,101,UHF42,Kingsbridge - Riverdale,27.53,
77,Outdoor Air and Health,375,Nitr375,2018-01-01,2018-12-31,Annual Average,Annual Average 2018,101,101,UHF42,Kingsbridge - Riverdale,15.77,
77,Outdoor Air and Health,651,PM2-651,2015-01-01,2017-12-31,year,2015-2017,101,101,UHF42,Kingsbridge - Riverdale,18.2,
77,Outdoor Air and Health,659,O3-A659,2015-01-01,2017-12-31,year,2015-2017,101,101,UHF42,Kingsbridge - Riverdale,36.2,
77,Outdoor Air and Health,661,O3-A661,2015-01-01,2017-12-31,year,2015-2017,101,101,UHF42,Kingsbridge - Riverdale,4,
77,Outdoor Air and Health,652,O3-A652,2015-01-01,2017-12-31,year,2015-2017,101,101,UHF42,Kingsbridge - Riverdale,8.3,
77,Outdoor Air and Health,641,Boil641,2013-01-01,2013-12-31,year,2013,101,101,UHF42,Kingsbridge - Riverdale,2,
77,Outdoor Air and Health,642,Boil642,2013-01-01,2013-12-31,year,2013,101,101,UHF42,Kingsbridge - Riverdale,42.5,
77,Outdoor Air and Health,650,PM2-650,2005-01-01,2007-12-31,other,2005-2007,101,101,UHF42,Kingsbridge - Riverdale,28.5,
77,Outdoor Air and Health,651,PM2-651,2005-01-01,2007-12-31,other,2005-2007,101,101,UHF42,Kingsbridge - Riverdale,28.2,
77,Outdoor Air and Health,652,O3-A652,2005-01-01,2007-12-31,other,2005-2007,101,101,UHF42,Kingsbridge - Riverdale,9.9,
77,Outdoor Air and Health,653,O3-A653,2005-01-01,2007-12-31,other,2005-2007,101,101,UHF42,Kingsbridge - Riverdale,68.3,
77,Outdoor Air and Health,657,PM2-657,2009-01-01,2011-12-31,other,2009-2011,101,101,UHF42,Kingsbridge - Riverdale,25.4,
77,Outdoor Air and Health,651,PM2-651,2009-01-01,2011-12-31,other,2009-2011,101,101,UHF42,Kingsbridge - Riverdale,18.3,
77,Outdoor Air and Health,375,Nitr375,2008-12-01,2009-12-01,Annual Average,Annual Average 2009,101,101,UHF42,Kingsbridge - Riverdale,23.2,
77,Outdoor Air and Health,365,Fine365,2012-12-01,2013-12-01,Annual Average,Annual Average 2013,101,101,UHF42,Kingsbridge - Riverdale,8.88,
77,Outdoor Air and Health,642,Boil642,2015-01-01,2015-12-31,year,2015,101,101,UHF42,Kingsbridge - Riverdale,35.8,
77,Outdoor Air and Health,383,Sulf383,2013-12-01,2014-03-01,Winter Seasonal,Winter 2013-14,101,101,UHF42,Kingsbridge - Riverdale,1.71,
77,Outdoor Air and Health,645,Traf645,2016-01-01,2016-12-31,year,2016,101,101,UHF42,Kingsbridge - Riverdale,2.3,
77,Outdoor Air and Health,643,Traf643,2016-01-01,2016-12-31,year,2016,101,101,UHF42,Kingsbridge - Riverdale,28.8,
77,Outdoor Air and Health,365,Fine365,2015-01-01,2015-12-31,Annual Average,Annual Average 2015,101,101,UHF42,Kingsbridge - Riverdale,9.17,
77,Outdoor Air and Health,375,Nitr375,2015-01-01,2015-12-31,Annual Average,Annual Average 2015,101,101,UHF42,Kingsbridge - Riverdale,17.82,
77,Outdoor Air and Health,386,Ozon386,2016-05-31,2016-08-31,Summer Seasonal,Summer 2016,101,101,UHF42,Kingsbridge - Riverdale,32.46,
77,Outdoor Air and Health,653,O3-A653,2012-01-02,2014-12-31,other,2012-2014,101,101,UHF42,Kingsbridge - Riverdale,102.7,
77,Outdoor Air and Health,655,O3-A655,2012-01-02,2014-12-31,other,2012-2014,101,101,UHF42,Kingsbridge - Riverdale,22.7,
77,Outdoor Air and Health,661,O3-A661,2012-01-02,2014-12-31,other,2012-2014,101,101,UHF42,Kingsbridge - Riverdale,5.8,
77,Outdoor Air and Health,639,PM2-639,2012-01-02,2014-12-31,other,2012-2014,101,101,UHF42,Kingsbridge - Riverdale,69.36355194,
77,Outdoor Air and Health,648,PM2-648,2012-01-02,2014-12-31,other,2012-2014,101,101,UHF42,Kingsbridge - Riverdale,82.2972765,
77,Outdoor Air and Health,365,Fine365,2017-01-01,2017-12-31,Annual Average,Annual Average 2017,101,101,UHF42,Kingsbridge - Riverdale,7.41,
77,Outdoor Air and Health,375,Nitr375,2017-01-01,2017-12-31,Annual Average,Annual Average 2017,101,101,UHF42,Kingsbridge - Riverdale,17.28,
77,Outdoor Air and Health,386,Ozon386,2018-06-01,2018-09-01,Summer Seasonal,Summer 2018,101,101,UHF42,Kingsbridge - Riverdale,29.8,
77,Outdoor Air and Health,648,PM2-648,2015-01-01,2017-12-31,year,2015-2017,101,101,UHF42,Kingsbridge - Riverdale,65.8,
77,Outdoor Air and Health,375,Nitr375,2019-01-01,2019-12-31,Annual Average,Annual Average 2019,101,101,UHF42,Kingsbridge - Riverdale,13.5,
77,Outdoor Air and Health,365,Fine365,2020-01-01,2020-12-31,Annual Average,Annual Average 2020,101,101,UHF42,Kingsbridge - Riverdale,5.89,
77,Outdoor Air and Health,386,Ozon386,2020-06-01,2020-08-31,Summer Seasonal,Summer 2020,101,101,UHF42,Kingsbridge - Riverdale,28.49,
77,Outdoor Air and Health,646,Air 646,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,2.9,
77,Outdoor Air and Health,647,Air 647,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,3.2,
77,Outdoor Air and Health,648,PM2-648,2009-01-01,2011-12-31,other,2009-2011,101,101,UHF42,Kingsbridge - Riverdale,60.7,
77,Outdoor Air and Health,650,PM2-650,2009-01-01,2011-12-31,other,2009-2011,101,101,UHF42,Kingsbridge - Riverdale,18.6,
77,Outdoor Air and Health,639,PM2-639,2009-01-01,2011-12-31,other,2009-2011,101,101,UHF42,Kingsbridge - Riverdale,77.6,
77,Outdoor Air and Health,659,O3-A659,2009-01-01,2011-12-31,other,2009-2011,101,101,UHF42,Kingsbridge - Riverdale,26.5,
77,Outdoor Air and Health,643,Traf643,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,24.6,
77,Outdoor Air and Health,645,Traf645,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,1.9,
77,Outdoor Air and Health,383,Sulf383,2009-12-01,2010-03-01,Winter Seasonal,Winter 2009-10,101,101,UHF42,Kingsbridge - Riverdale,4.16,
77,Outdoor Air and Health,383,Sulf383,2011-12-01,2012-03-01,Winter Seasonal,Winter 2011-12,101,101,UHF42,Kingsbridge - Riverdale,3.71,
77,Outdoor Air and Health,383,Sulf383,2012-12-01,2013-03-01,Winter Seasonal,Winter 2012-13,101,101,UHF42,Kingsbridge - Riverdale,2.23,
77,Outdoor Air and Health,375,Nitr375,2013-12-01,2014-12-01,Annual Average,Annual Average 2014,101,101,UHF42,Kingsbridge - Riverdale,17.1,
77,Outdoor Air and Health,365,Fine365,2013-12-01,2014-12-01,Annual Average,Annual Average 2014,101,101,UHF42,Kingsbridge - Riverdale,9,
77,Outdoor Air and Health,386,Ozon386,2009-06-01,2009-09-01,Summer Seasonal,Summer 2009,101,101,UHF42,Kingsbridge - Riverdale,23.67,
77,Outdoor Air and Health,386,Ozon386,2012-06-01,2012-09-01,Summer Seasonal,Summer 2012,101,101,UHF42,Kingsbridge - Riverdale,33.72,
77,Outdoor Air and Health,386,Ozon386,2013-06-01,2013-09-01,Summer Seasonal,Summer 2013,101,101,UHF42,Kingsbridge - Riverdale,30.37,
77,Outdoor Air and Health,647,Air 647,2011-01-01,2011-12-31,year,2011,101,101,UHF42,Kingsbridge - Riverdale,2.2,
77,Outdoor Air and Health,644,Traf644,2016-01-01,2016-12-31,year,2016,101,101,UHF42,Kingsbridge - Riverdale,26.3,
77,Outdoor Air and Health,659,O3-A659,2012-01-02,2014-12-31,other,2012-2014,101,101,UHF42,Kingsbridge - Riverdale,34.4,
77,Outdoor Air and Health,365,Fine365,2018-01-01,2018-12-31,Annual Average,Annual Average 2018,101,101,UHF42,Kingsbridge - Riverdale,6.95,
77,Outdoor Air and Health,639,PM2-639,2015-01-01,2017-12-31,year,2015-2017,101,101,UHF42,Kingsbridge - Riverdale,63,
77,Outdoor Air and Health,657,PM2-657,2015-01-01,2017-12-31,year,2015-2017,101,101,UHF42,Kingsbridge - Riverdale,25.8,
77,Outdoor Air and Health,650,PM2-650,2015-01-01,2017-12-31,year,2015-2017,101,101,UHF42,Kingsbridge - Riverdale,14.8,
77,Outdoor Air and Health,653,O3-A653,2015-01-01,2017-12-31,year,2015-2017,101,101,UHF42,Kingsbridge - Riverdale,79.5,
77,Outdoor Air and Health,365,Fine365,2019-01-01,2019-12-31,Annual Average,Annual Average 2019,101,101,UHF42,Kingsbridge - Riverdale,6.71,
77,Outdoor Air and Health,386,Ozon386,2019-06-01,2019-08-31,Summer Seasonal,Summer 2019,101,101,UHF42,Kingsbridge - Riverdale,28.43,
77,Outdoor Air and Health,375,Nitr375,2020-01-01,2020-12-31,Annual Average,Annual Average 2020,101,101,UHF42,Kingsbridge - Riverdale,15.9,
77,Outdoor Air and Health,640,Boil640,2013-01-01,2013-12-31,year,2013,102,102,UHF42,Northeast Bronx,2.2,
77,Outdoor Air and Health,652,O3-A652,2005-01-01,2007-12-31,other,2005-2007,102,102,UHF42,Northeast Bronx,5.4,
77,Outdoor Air and Health,650,PM2-650,2009-01-01,2011-12-31,other,2009-2011,102,102,UHF42,Northeast Bronx,18.6,
77,Outdoor Air and Health,639,PM2-639,2009-01-01,2011-12-31,other,2009-2011,102,102,UHF42,Northeast Bronx,57,
77,Outdoor Air and Health,661,O3-A661,2009-01-01,2011-12-31,other,2009-2011,102,102,UHF42,Northeast Bronx,9.8,
77,Outdoor Air and Health,643,Traf643,2005-01-01,2005-12-31,year,2005,102,102,UHF42,Northeast Bronx,16.7,
77,Outdoor Air and Health,375,Nitr375,2009-12-01,2010-12-01,Annual Average,Annual Average 2010,102,102,UHF42,Northeast Bronx,20.21,
77,Outdoor Air and Health,365,Fine365,2008-12-01,2009-12-01,Annual Average,Annual Average 2009,102,102,UHF42,Northeast Bronx,10.68,
77,Outdoor Air and Health,365,Fine365,2010-12-01,2011-12-01,Annual Average,Annual Average 2011,102,102,UHF42,Northeast Bronx,10.48,
77,Outdoor Air and Health,375,Nitr375,2013-12-01,2014-12-01,Annual Average,Annual Average 2014,102,102,UHF42,Northeast Bronx,18.97,
77,Outdoor Air and Health,386,Ozon386,2012-06-01,2012-09-01,Summer Seasonal,Summer 2012,102,102,UHF42,Northeast Bronx,35.09,
77,Outdoor Air and Health,386,Ozon386,2013-06-01,2013-09-01,Summer Seasonal,Summer 2013,102,102,UHF42,Northeast Bronx,31.68,
77,Outdoor Air and Health,386,Ozon386,2014-06-01,2014-09-01,Summer Seasonal,Summer 2014,102,102,UHF42,Northeast Bronx,31.49,
77,Outdoor Air and Health,647,Air 647,2011-01-01,2011-12-31,year,2011,102,102,UHF42,Northeast Bronx,2,
77,Outdoor Air and Health,383,Sulf383,2014-12-01,2015-02-27,Winter Seasonal,Winter 2014-15,102,102,UHF42,Northeast Bronx,1.11,
77,Outdoor Air and Health,653,O3-A653,2012-01-02,2014-12-31,other,2012-2014,102,102,UHF42,Northeast Bronx,184.4,
77,Outdoor Air and Health,659,O3-A659,2012-01-02,2014-12-31,other,2012-2014,102,102,UHF42,Northeast Bronx,81.9,
77,Outdoor Air and Health,655,O3-A655,2012-01-02,2014-12-31,other,2012-2014,102,102,UHF42,Northeast Bronx,42.4,
77,Outdoor Air and Health,386,Ozon386,2017-06-01,2017-09-01,Summer Seasonal,Summer 2017,102,102,UHF42,Northeast Bronx,29.01,
77,Outdoor Air and Health,639,PM2-639,2015-01-01,2017-12-31,year,2015-2017,102,102,UHF42,Northeast Bronx,47.3,
77,Outdoor Air and Health,650,PM2-650,2015-01-01,2017-12-31,year,2015-2017,102,102,UHF42,Northeast Bronx,15.4,
77,Outdoor Air and Health,652,O3-A652,2015-01-01,2017-12-31,year,2015-2017,102,102,UHF42,Northeast Bronx,6.2,
77,Outdoor Air and Health,365,Fine365,2020-01-01,2020-12-31,Annual Average,Annual Average 2020,102,102,UHF42,Northeast Bronx,5.95,
77,Outdoor Air and Health,641,Boil641,2013-01-01,2013-12-31,year,2013,102,102,UHF42,Northeast Bronx,0.3,
77,Outdoor Air and Health,647,Air 647,2005-01-01,2005-12-31,year,2005,102,102,UHF42,Northeast Bronx,3.2,
77,Outdoor Air and Health,651,PM2-651,2005-01-01,2007-12-31,other,2005-2007,102,102,UHF42,Northeast Bronx,25.9,
77,Outdoor Air and Health,661,O3-A661,2005-01-01,2007-12-31,other,2005-2007,102,102,UHF42,Northeast Bronx,9,
77,Outdoor Air and Health,657,PM2-657,2009-01-01,2011-12-31,other,2009-2011,102,102,UHF42,Northeast Bronx,37.6,
77,Outdoor Air and Health,644,Traf644,2005-01-01,2005-12-31,year,2005,102,102,UHF42,Northeast Bronx,14.6,
77,Outdoor Air and Health,645,Traf645,2005-01-01,2005-12-31,year,2005,102,102,UHF42,Northeast Bronx,1.9,
77,Outdoor Air and Health,383,Sulf383,2008-12-01,2009-03-01,Winter Seasonal,Winter 2008-09,102,102,UHF42,Northeast Bronx,5.38,
