geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,NA,Estimate is suppressed due to insufficient data.
203,Bedford Stuyvesant - Crown Heights,43.2,
209,Bensonhurst - Bay Ridge,4.5,
206,Borough Park,4,
208,Canarsie - Flatlands,23.8,
302,Central Harlem - Morningside Heights,54.6,
306,Chelsea - Clinton,16.8,
210,Coney Island - Sheepshead Bay,14.2,
105,Crotona -Tremont,42.4,
202,Downtown - Heights - Slope,14.7,
207,East Flatbush - Flatbush,38.3,
303,East Harlem,52.2,
204,East New York,45.9,
403,Flushing - Clearview,14.6,
103,Fordham - Bronx Pk,42.5,
406,Fresh Meadows,17.7,
307,Gramercy Park - Murray Hill,10.3,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,5.6,
308,Greenwich Village - SoHo,NA,Estimate is suppressed due to insufficient data.
106,High Bridge - Morrisania,40.5,
107,Hunts Point - Mott Haven,52.7,
408,Jamaica,20.8,
101,Kingsbridge - Riverdale,21.4,
401,Long Island City - Astoria,11.3,
310,Lower Manhattan,NA,Estimate is suppressed due to insufficient data.
102,Northeast Bronx,35.1,
104,Pelham - Throgs Neck,37.5,
501,Port Richmond,25.8,
405,Ridgewood - Forest Hills,16.4,
410,Rockaways,21.2,
504,South Beach - Tottenville,5.3,
409,Southeast Queens,15.9,
407,Southwest Queens,13.3,
502,Stapleton - St. George,29.9,
205,Sunset Park,8.8,
309,Union Square - Lower East Side,12.6,
305,Upper East Side,6.4,
304,Upper West Side,8.2,
301,Washington Heights,33.8,
402,West Queens,18.2,
211,Williamsburg - Bushwick,26.8,
503,Willowbrook,7.4,Estimate is based on small numbers so should be interpreted with caution.
