NTACODE,NTANAME,POV_PCT,PCT_BLACK_POP,GREENSPACE,SURFACETEMP,PCT_HOUSEHOLDS_AC,HVI_RANK,CD,HRI_HOSP_RATE,POV_TERT,GREENSPACE_TERT,SURFACETEMP_TERT,AC_TERT
BX06,Belmont,41.9,17.5,24.4,98.7,75.8,5,203,1.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX17,East Tremont,39.8,34.1,20.2,99.6,75.8,5,203,1.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX35,Morrisania-Melrose,35.2,40.7,24.3,99.6,75.8,5,203,1.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX01,Claremont-Bathgate,48.2,46.9,21.7,100,75.8,5,203,1.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX75,Crotona Park East,41.6,34.6,23,100,75.8,5,203,1.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX36,University Heights-Morris Heights,42,32.8,26.4,97.8,79.7,5,205,1.8,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX40,Fordham South,45.4,28.9,11.4,97.9,79.7,5,205,1.8,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX41,Mount Hope,35.1,35.2,14.1,98.4,79.7,5,205,1.8,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK79,Ocean Hill,29.3,77.5,21.1,100.6,81.7,5,316,3.6,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK81,Brownsville,43.1,79.9,24.8,100.7,81.7,5,316,3.6,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK85,East New York (Pennsylvania Ave),33.3,78,18.6,100.9,81.7,5,316,3.6,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
MN11,Central Harlem South,24.5,53,19.7,98.3,82.2,5,110,1.5,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
MN03,Central Harlem North-Polo Grounds,28.8,65.1,25,98.4,82.2,5,110,1.5,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX44,Williamsbridge-Olinville,23.1,72.8,24,98.9,83,5,212,2.4,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX62,Woodlawn-Wakefield,13.4,59.8,29.5,99.2,83,4,212,2.4,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX03,Eastchester-Edenwald-Baychester,16.4,71,38.1,99.8,83,5,212,2.4,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
QN12,Hammels-Arverne-Edgemere,24.9,49.7,35.8,93.7,83.2,3,414,0.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,7.6,6.9,30.8,94.3,83.2,2,414,0.9,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
QN15,Far Rockaway-Bayswater,21.5,44.3,36.8,95.9,83.2,4,414,0.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
QN02,Springfield Gardens North,7.7,92,41,101.5,84.2,5,412,1.9,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
QN08,St. Albans,8.5,89.3,38.3,102.3,84.2,5,412,1.9,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
QN07,Hollis,10.8,61.2,34.1,102.4,84.2,5,412,1.9,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
QN61,Jamaica,19.4,16.8,15,102.6,84.2,5,412,1.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
QN01,South Jamaica,16.6,66.6,31.2,102.8,84.2,5,412,1.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX39,Mott Haven-Port Morris,45.3,29.3,20.2,99.8,84.3,5,201,2.3,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX27,Hunts Point,40.5,30.8,11.2,100.4,84.3,5,201,2.3,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
