NTACode,GEOCODE,BoroCode,BOROUGH,CountyFIPS,GEONAME,Avg_annavg_PM25,Avg_annavg_NO2,tertile_buildingemissions,tertile_buildingdensity,tertile_trafficdensity,tertile_industrial
BX01,501,2,Bronx,5,Claremont-Bathgate,8.195789937,21.60143653,3,3,3,3
BX03,503,2,Bronx,5,Eastchester-Edenwald-Baychester,7.468834832,18.43537872,2,1,2,2
BX05,505,2,Bronx,5,Bedford Park-Fordham North,7.843937589,21.66111421,3,3,2,1
BX06,506,2,Bronx,5,Belmont,7.564393832,20.13360704,3,2,2,2
BX07,507,2,Bronx,5,Bronxdale,7.283234445,19.5516704,2,2,1,1
BX08,508,2,Bronx,5,West Farms-Bronx River,7.982665218,21.15791235,2,2,3,2
BX09,509,2,Bronx,5,Soundview-Castle Hill-Clason Point-Harding Park,7.309340652,18.61635723,2,1,2,2
BX10,510,2,Bronx,5,Pelham Bay-Country Club-City Island,7.244055946,17.74609107,1,1,2,2
BX13,513,2,Bronx,5,Co-op City,8.09895427,19.28953564,2,2,3,2
BX14,514,2,Bronx,5,East Concourse-Concourse Village,8.086189171,22.37395496,3,3,2,3
BX17,517,2,Bronx,5,East Tremont,8.046749507,21.16078033,3,2,3,3
BX22,522,2,Bronx,5,North Riverdale-Fieldston-Riverdale,7.117935821,15.85101692,2,1,1,1
BX26,526,2,Bronx,5,Highbridge,8.270216828,21.65598573,3,3,3,2
BX27,527,2,Bronx,5,Hunts Point,8.538703999,20.09868285,2,2,2,3
BX28,528,2,Bronx,5,Van Cortlandt Village,7.762746951,19.67515811,3,3,3,2
BX29,529,2,Bronx,5,Spuyten Duyvil-Kingsbridge,7.666226034,19.10068501,3,2,3,1
BX30,530,2,Bronx,5,Kingsbridge Heights,7.996982079,21.07831631,3,3,3,2
BX31,531,2,Bronx,5,Allerton-Pelham Gardens,7.203823801,18.82948991,2,2,1,2
BX33,533,2,Bronx,5,Longwood,8.32051661,21.69515995,3,3,2,3
BX34,534,2,Bronx,5,Melrose South-Mott Haven North,7.959793167,21.30519466,3,3,2,3
BX35,535,2,Bronx,5,Morrisania-Melrose,7.760051427,21.27795831,3,3,2,3
BX36,536,2,Bronx,5,University Heights-Morris Heights,8.418196493,21.82088901,3,3,3,2
BX37,537,2,Bronx,5,Van Nest-Morris Park-Westchester Square,7.557151025,19.27027484,2,2,1,3
BX39,539,2,Bronx,5,Mott Haven-Port Morris,8.759178979,21.15896103,2,2,3,3
BX40,540,2,Bronx,5,Fordham South,7.897069828,22.46536952,3,3,2,2
BX41,541,2,Bronx,5,Mount Hope,8.652663537,23.03874664,3,3,3,3
BX43,543,2,Bronx,5,Norwood,7.553903347,19.93625921,3,3,2,1
BX44,544,2,Bronx,5,Williamsbridge-Olinville,7.225937173,19.45844496,2,2,1,1
BX46,546,2,Bronx,5,Parkchester,7.621075027,19.60882114,2,2,3,2
BX49,549,2,Bronx,5,Pelham Parkway,7.434850603,19.00840403,2,2,1,3
BX52,552,2,Bronx,5,Schuylerville-Throgs Neck-Edgewater Park,7.413787012,18.02761418,1,1,3,2
BX55,555,2,Bronx,5,Soundview-Bruckner,7.745654778,20.4968728,3,2,3,2
BX59,559,2,Bronx,5,Westchester-Unionport,8.18670502,20.81204676,2,2,3,3
BX62,562,2,Bronx,5,Woodlawn-Wakefield,7.194145461,18.68356766,1,1,1,2
BX63,563,2,Bronx,5,West Concourse,8.407562392,22.17064602,3,3,3,3
BX75,575,2,Bronx,5,Crotona Park East,8.013254933,21.30374415,2,2,3,3
BX98,598,2,Bronx,5,Rikers Island,6.754950647,18.08876011,1,1,1,1
BX99,599,2,Bronx,5,Open Space - Bronx,7.171511649,14.48802251,1,1,2,1
BK09,4709,3,Brooklyn,47,Brooklyn Heights-Cobble Hill,8.159925978,22.43931682,3,3,3,2
BK17,4717,3,Brooklyn,47,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,6.701257899,15.74486353,2,2,1,1
BK19,4719,3,Brooklyn,47,Brighton Beach,6.922784411,16.46097272,2,2,2,1
