start_date,time,geo_join_id,neighborhood,data_value,message
2016-01-01,2016,101,Kingsbridge - Riverdale,28.8,
2005-01-01,2005,101,Kingsbridge - Riverdale,24.6,
2005-01-01,2005,102,Northeast Bronx,16.7,
2016-01-01,2016,102,Northeast Bronx,17.1,
2005-01-01,2005,103,Fordham - Bronx Pk,23.8,
2016-01-01,2016,103,Fordham - Bronx Pk,21.5,
2005-01-01,2005,104,Pelham - Throgs Neck,22.8,
2016-01-01,2016,104,Pelham - Throgs Neck,23.9,
2005-01-01,2005,105,Crotona -Tremont,39.6,
2016-01-01,2016,105,Crotona -Tremont,36.4,
2005-01-01,2005,106,High Bridge - Morrisania,36.1,
2016-01-01,2016,106,High Bridge - Morrisania,31.8,
2016-01-01,2016,107,Hunts Point - Mott Haven,20.2,
2005-01-01,2005,107,Hunts Point - Mott Haven,21.3,
2005-01-01,2005,201,Greenpoint,30.2,
2016-01-01,2016,201,Greenpoint,29.7,
2005-01-01,2005,202,Downtown - Heights - Slope,41.7,
2016-01-01,2016,202,Downtown - Heights - Slope,39.7,
2005-01-01,2005,203,Bedford Stuyvesant - Crown Heights,33.8,
2016-01-01,2016,203,Bedford Stuyvesant - Crown Heights,26.7,
2016-01-01,2016,204,East New York,19.4,
2005-01-01,2005,204,East New York,20.1,
2005-01-01,2005,205,Sunset Park,30.7,
2016-01-01,2016,205,Sunset Park,26.1,
2016-01-01,2016,206,Borough Park,25.6,
2005-01-01,2005,206,Borough Park,21.6,
2005-01-01,2005,207,East Flatbush - Flatbush,26.3,
2016-01-01,2016,207,East Flatbush - Flatbush,21,
2005-01-01,2005,208,Canarsie - Flatlands,16,
2016-01-01,2016,208,Canarsie - Flatlands,17.9,
2005-01-01,2005,209,Bensonhurst - Bay Ridge,23.1,
2016-01-01,2016,209,Bensonhurst - Bay Ridge,25.3,
2005-01-01,2005,210,Coney Island - Sheepshead Bay,15.9,
2016-01-01,2016,210,Coney Island - Sheepshead Bay,18.9,
2016-01-01,2016,211,Williamsburg - Bushwick,17,
2005-01-01,2005,211,Williamsburg - Bushwick,15.5,
2005-01-01,2005,301,Washington Heights,44.4,
2016-01-01,2016,301,Washington Heights,46.9,
2016-01-01,2016,302,Central Harlem - Morningside Heights,39.4,
2005-01-01,2005,302,Central Harlem - Morningside Heights,36.9,
2005-01-01,2005,303,East Harlem,53.1,
2016-01-01,2016,303,East Harlem,59.7,
2005-01-01,2005,304,Upper West Side,49.5,
2016-01-01,2016,304,Upper West Side,50.1,
2005-01-01,2005,305,Upper East Side,54.7,
2016-01-01,2016,305,Upper East Side,52.2,
2005-01-01,2005,306,Chelsea - Clinton,46.1,
2016-01-01,2016,306,Chelsea - Clinton,45.2,
2005-01-01,2005,307,Gramercy Park - Murray Hill,78.6,
2016-01-01,2016,307,Gramercy Park - Murray Hill,68.6,
2005-01-01,2005,308,Greenwich Village - SoHo,47.5,
2016-01-01,2016,308,Greenwich Village - SoHo,52.4,
2016-01-01,2016,309,Union Square - Lower East Side,45.8,
2005-01-01,2005,309,Union Square - Lower East Side,52.9,
2016-01-01,2016,310,Lower Manhattan,36.3,
2005-01-01,2005,310,Lower Manhattan,39.8,
2016-01-01,2016,401,Long Island City - Astoria,25.1,
2005-01-01,2005,401,Long Island City - Astoria,18.6,
2005-01-01,2005,402,West Queens,40.8,
2016-01-01,2016,402,West Queens,44.4,
2016-01-01,2016,403,Flushing - Clearview,21.1,
2005-01-01,2005,403,Flushing - Clearview,19.6,
2016-01-01,2016,404,Bayside - Little Neck,33.8,
2005-01-01,2005,404,Bayside - Little Neck,33.8,
2005-01-01,2005,405,Ridgewood - Forest Hills,26.3,
2016-01-01,2016,405,Ridgewood - Forest Hills,27.4,
2005-01-01,2005,406,Fresh Meadows,34.3,
2016-01-01,2016,406,Fresh Meadows,36.2,
2005-01-01,2005,407,Southwest Queens,21.9,
2016-01-01,2016,407,Southwest Queens,24.9,
2005-01-01,2005,408,Jamaica,19.4,
2016-01-01,2016,408,Jamaica,20.6,
2005-01-01,2005,409,Southeast Queens,26.4,
2016-01-01,2016,409,Southeast Queens,28.2,
2016-01-01,2016,410,Rockaways,6.7,
2005-01-01,2005,410,Rockaways,4.9,
2005-01-01,2005,501,Port Richmond,7.7,
2016-01-01,2016,501,Port Richmond,7,
2005-01-01,2005,502,Stapleton - St. George,13.9,
2016-01-01,2016,502,Stapleton - St. George,13.2,
2016-01-01,2016,503,Willowbrook,13.4,
2005-01-01,2005,503,Willowbrook,13.1,
2016-01-01,2016,504,South Beach - Tottenville,6.6,
2005-01-01,2005,504,South Beach - Tottenville,6.2,
